Entry	Nuc_Genomic_EMBL_ID_1	Nuc_Genomic_EMBL_Link_1	Nuc_Genomic_EMBL_ID_2	Nuc_Genomic_EMBL_Link_2	Nuc_Genomic_EMBL_ID_3	Nuc_Genomic_EMBL_Link_3	Nuc_Genomic_EMBL_ID_4	Nuc_Genomic_EMBL_Link_4	Nuc_Genomic_EMBL_ID_5	Nuc_Genomic_EMBL_Link_5	Nuc_Genomic_EMBL_ID_6	Nuc_Genomic_EMBL_Link_6	Nuc_Genomic_EMBL_ID_7	Nuc_Genomic_EMBL_Link_7	Nuc_Genomic_EMBL_ID_8	Nuc_Genomic_EMBL_Link_8	Nuc_Genomic_EMBL_ID_9	Nuc_Genomic_EMBL_Link_9	Nuc_Genomic_EMBL_ID_10	Nuc_Genomic_EMBL_Link_10	Nuc_Genomic_EMBL_ID_11	Nuc_Genomic_EMBL_Link_11	Nuc_Genomic_EMBL_ID_12	Nuc_Genomic_EMBL_Link_12	Nuc_Genomic_EMBL_ID_13	Nuc_Genomic_EMBL_Link_13	Nuc_Genomic_EMBL_ID_14	Nuc_Genomic_EMBL_Link_14	Nuc_mRNA_EMBL_ID_1	Nuc_mRNA_EMBL_Link_1	Nuc_mRNA_EMBL_ID_2	Nuc_mRNA_EMBL_Link_2	Nuc_mRNA_EMBL_ID_3	Nuc_mRNA_EMBL_Link_3	Nuc_mRNA_EMBL_ID_4	Nuc_mRNA_EMBL_Link_4	Nuc_mRNA_EMBL_ID_5	Nuc_mRNA_EMBL_Link_5	Nuc_mRNA_EMBL_ID_6	Nuc_mRNA_EMBL_Link_6	Nuc_mRNA_EMBL_ID_7	Nuc_mRNA_EMBL_Link_7	Nuc_mRNA_EMBL_ID_8	Nuc_mRNA_EMBL_Link_8	Nuc_mRNA_EMBL_ID_9	Nuc_mRNA_EMBL_Link_9	Nuc_mRNA_EMBL_ID_10	Nuc_mRNA_EMBL_Link_10	Nuc_mRNA_EMBL_ID_11	Nuc_mRNA_EMBL_Link_11	Nuc_mRNA_EMBL_ID_12	Nuc_mRNA_EMBL_Link_12	Nuc_mRNA_EMBL_ID_13	Nuc_mRNA_EMBL_Link_13	Nuc_mRNA_EMBL_ID_14	Nuc_mRNA_EMBL_Link_14	Nuc_mRNA_EMBL_ID_15	Nuc_mRNA_EMBL_Link_15	Prot_EMBL_ORF_ID_1	Prot_EMBL_ORF_Link_1	Prot_EMBL_ORF_ID_2	Prot_EMBL_ORF_Link_2	Prot_EMBL_ORF_ID_3	Prot_EMBL_ORF_Link_3	Prot_EMBL_ORF_ID_4	Prot_EMBL_ORF_Link_4	Prot_EMBL_ORF_ID_5	Prot_EMBL_ORF_Link_5	Prot_EMBL_ORF_ID_6	Prot_EMBL_ORF_Link_6	Prot_EMBL_ORF_ID_7	Prot_EMBL_ORF_Link_7	Prot_EMBL_ORF_ID_8	Prot_EMBL_ORF_Link_8	Prot_EMBL_ORF_ID_9	Prot_EMBL_ORF_Link_9	Prot_EMBL_ORF_ID_10	Prot_EMBL_ORF_Link_10	Prot_EMBL_ORF_ID_11	Prot_EMBL_ORF_Link_11	Prot_EMBL_ORF_ID_12	Prot_EMBL_ORF_Link_12	Prot_EMBL_ORF_ID_13	Prot_EMBL_ORF_Link_13	Prot_EMBL_ORF_ID_14	Prot_EMBL_ORF_Link_14	Prot_EMBL_ORF_ID_15	Prot_EMBL_ORF_Link_15	Prot_EMBL_ORF_ID_16	Prot_EMBL_ORF_Link_16	Prot_EMBL_ORF_ID_17	Prot_EMBL_ORF_Link_17	Prot_EMBL_ORF_ID_18	Prot_EMBL_ORF_Link_18	Prot_EMBL_ORF_ID_19	Prot_EMBL_ORF_Link_19	Prot_EMBL_ORF_ID_20	Prot_EMBL_ORF_Link_20	Prot_EMBL_ORF_ID_21	Prot_EMBL_ORF_Link_21	Prot_EMBL_ORF_ID_22	Prot_EMBL_ORF_Link_22	Prot_EMBL_ORF_ID_23	Prot_EMBL_ORF_Link_23	Prot_EMBL_ORF_ID_24	Prot_EMBL_ORF_Link_24	Prot_EMBL_ORF_ID_25	Prot_EMBL_ORF_Link_25	Prot_EMBL_ORF_ID_26	Prot_EMBL_ORF_Link_26	Prot_RefSeq_ID_1	Prot_RefSeq_NucID_1	Prot_RefSeq_ProteinLink_1	Prot_RefSeq_NucLink_1	Prot_RefSeq_ID_2	Prot_RefSeq_NucID_2	Prot_RefSeq_ProteinLink_2	Prot_RefSeq_NucLink_2	Prot_RefSeq_ID_3	Prot_RefSeq_NucID_3	Prot_RefSeq_ProteinLink_3	Prot_RefSeq_NucLink_3	Prot_RefSeq_ID_4	Prot_RefSeq_NucID_4	Prot_RefSeq_ProteinLink_4	Prot_RefSeq_NucLink_4	Prot_RefSeq_ID_5	Prot_RefSeq_NucID_5	Prot_RefSeq_ProteinLink_5	Prot_RefSeq_NucLink_5	Prot_RefSeq_ID_6	Prot_RefSeq_NucID_6	Prot_RefSeq_ProteinLink_6	Prot_RefSeq_NucLink_6	Prot_RefSeq_ID_7	Prot_RefSeq_NucID_7	Prot_RefSeq_ProteinLink_7	Prot_RefSeq_NucLink_7	Prot_RefSeq_ID_8	Prot_RefSeq_NucID_8	Prot_RefSeq_ProteinLink_8	Prot_RefSeq_NucLink_8	Prot_RefSeq_ID_9	Prot_RefSeq_NucID_9	Prot_RefSeq_ProteinLink_9	Prot_RefSeq_NucLink_9	Prot_RefSeq_ID_10	Prot_RefSeq_NucID_10	Prot_RefSeq_ProteinLink_10	Prot_RefSeq_NucLink_10	Prot_RefSeq_ID_11	Prot_RefSeq_NucID_11	Prot_RefSeq_ProteinLink_11	Prot_RefSeq_NucLink_11
A0A5P8DI07																													MK043036	https://www.ebi.ac.uk/ena/browser/view/MK043036																													QFP98580.1	https://www.ebi.ac.uk/ena/browser/view/QFP98580.1																																																																																														
A0A5P8DI15																													MK043033	https://www.ebi.ac.uk/ena/browser/view/MK043033																													QFP98577.1	https://www.ebi.ac.uk/ena/browser/view/QFP98577.1																																																																																														
A0A5Q0QMX0	MN146032	https://www.ebi.ac.uk/ena/browser/view/MN146032																																																									QGA30885.1	https://www.ebi.ac.uk/ena/browser/view/QGA30885.1																																																																																														
A0A5Q0QMX1	MN146031	https://www.ebi.ac.uk/ena/browser/view/MN146031																																																									QGA30884.1	https://www.ebi.ac.uk/ena/browser/view/QGA30884.1																																																																																														
A0A5Q0QN66	MN146029	https://www.ebi.ac.uk/ena/browser/view/MN146029																																																									QGA30882.1	https://www.ebi.ac.uk/ena/browser/view/QGA30882.1																																																																																														
A0A5Q0QNH9	MN146030	https://www.ebi.ac.uk/ena/browser/view/MN146030																																																									QGA30883.1	https://www.ebi.ac.uk/ena/browser/view/QGA30883.1																																																																																														
A0A5Q0QNJ2	MN146025	https://www.ebi.ac.uk/ena/browser/view/MN146025																																																									QGA30878.1	https://www.ebi.ac.uk/ena/browser/view/QGA30878.1																																																																																														
A0A5Q0QSI8	MN146028	https://www.ebi.ac.uk/ena/browser/view/MN146028																																																									QGA30881.1	https://www.ebi.ac.uk/ena/browser/view/QGA30881.1																																																																																														
A0A6S6QR11	LC314149	https://www.ebi.ac.uk/ena/browser/view/LC314149																																																									BCI98771.1	https://www.ebi.ac.uk/ena/browser/view/BCI98771.1																																																																																														
A0A7D0AGU9																													MH383159	https://www.ebi.ac.uk/ena/browser/view/MH383159																													QAX24808.1	https://www.ebi.ac.uk/ena/browser/view/QAX24808.1																																																																																														
A0A7G5KLV2																													MN230107	https://www.ebi.ac.uk/ena/browser/view/MN230107																													QMW48844.1	https://www.ebi.ac.uk/ena/browser/view/QMW48844.1																																																																																														
A0A7G5KLV3																													MN230108	https://www.ebi.ac.uk/ena/browser/view/MN230108																													QMW48845.1	https://www.ebi.ac.uk/ena/browser/view/QMW48845.1																																																																																														
A0A7J6EK66	JAATIP010000220	https://www.ebi.ac.uk/ena/browser/view/JAATIP010000220	JAATIQ010000048	https://www.ebi.ac.uk/ena/browser/view/JAATIQ010000048	UZAU01000635	https://www.ebi.ac.uk/ena/browser/view/UZAU01000635																							KY014576	https://www.ebi.ac.uk/ena/browser/view/KY014576																													ARE72272.1	https://www.ebi.ac.uk/ena/browser/view/ARE72272.1	KAF4358842.1	https://www.ebi.ac.uk/ena/browser/view/KAF4358842.1	KAF4393788.1	https://www.ebi.ac.uk/ena/browser/view/KAF4393788.1																																																																																										
A0A7J6G7L9	JAATIP010000184	https://www.ebi.ac.uk/ena/browser/view/JAATIP010000184	JAATIQ010000061	https://www.ebi.ac.uk/ena/browser/view/JAATIQ010000061	JAATIQ010000139	https://www.ebi.ac.uk/ena/browser/view/JAATIQ010000139	UZAU01000251	https://www.ebi.ac.uk/ena/browser/view/UZAU01000251																					KY014568	https://www.ebi.ac.uk/ena/browser/view/KY014568																													KAF4362397.1	https://www.ebi.ac.uk/ena/browser/view/KAF4362397.1	KAF4390991.1	https://www.ebi.ac.uk/ena/browser/view/KAF4390991.1	KAF4378100.1	https://www.ebi.ac.uk/ena/browser/view/KAF4378100.1	ARE72264.1	https://www.ebi.ac.uk/ena/browser/view/ARE72264.1																																																																																								
A0A7J6H013	JAATIP010000034	https://www.ebi.ac.uk/ena/browser/view/JAATIP010000034	UZAU01000046	https://www.ebi.ac.uk/ena/browser/view/UZAU01000046																									KY014572	https://www.ebi.ac.uk/ena/browser/view/KY014572																													KAF4388564.1	https://www.ebi.ac.uk/ena/browser/view/KAF4388564.1	ARE72268.1	https://www.ebi.ac.uk/ena/browser/view/ARE72268.1																																																																																												
A0A7J6HK32	JAATIP010000006	https://www.ebi.ac.uk/ena/browser/view/JAATIP010000006	JAATIP010000012	https://www.ebi.ac.uk/ena/browser/view/JAATIP010000012	JAATIQ010000236	https://www.ebi.ac.uk/ena/browser/view/JAATIQ010000236	JAATIQ010000390	https://www.ebi.ac.uk/ena/browser/view/JAATIQ010000390																					KY014555	https://www.ebi.ac.uk/ena/browser/view/KY014555																													ARE72251.2	https://www.ebi.ac.uk/ena/browser/view/ARE72251.2	KAF4395614.1	https://www.ebi.ac.uk/ena/browser/view/KAF4395614.1	KAF4394108.1	https://www.ebi.ac.uk/ena/browser/view/KAF4394108.1	KAF4368149.1	https://www.ebi.ac.uk/ena/browser/view/KAF4368149.1	KAF4358088.1	https://www.ebi.ac.uk/ena/browser/view/KAF4358088.1																																																																																						
A0A803NI27	JAATIP010000098	https://www.ebi.ac.uk/ena/browser/view/JAATIP010000098	JAATIQ010000290	https://www.ebi.ac.uk/ena/browser/view/JAATIQ010000290	JAATIQ010000364	https://www.ebi.ac.uk/ena/browser/view/JAATIQ010000364	UZAU01000007	https://www.ebi.ac.uk/ena/browser/view/UZAU01000007																					KY014553	https://www.ebi.ac.uk/ena/browser/view/KY014553																													ARE72249.1	https://www.ebi.ac.uk/ena/browser/view/ARE72249.1	KAF4373942.1	https://www.ebi.ac.uk/ena/browser/view/KAF4373942.1	KAF4363904.1	https://www.ebi.ac.uk/ena/browser/view/KAF4363904.1	KAF4359689.1	https://www.ebi.ac.uk/ena/browser/view/KAF4359689.1																																																																																								
A0A803PDZ0	JAATIP010000295	https://www.ebi.ac.uk/ena/browser/view/JAATIP010000295	JAATIQ010000009	https://www.ebi.ac.uk/ena/browser/view/JAATIQ010000009	UZAU01000395	https://www.ebi.ac.uk/ena/browser/view/UZAU01000395																							KY014577	https://www.ebi.ac.uk/ena/browser/view/KY014577																													KAF4353450.1	https://www.ebi.ac.uk/ena/browser/view/KAF4353450.1	KAF4402161.1	https://www.ebi.ac.uk/ena/browser/view/KAF4402161.1	ARE72273.1	https://www.ebi.ac.uk/ena/browser/view/ARE72273.1																																																																																										
A0A858E4Y6	GL883193	https://www.ebi.ac.uk/ena/browser/view/GL883193																											MK946439	https://www.ebi.ac.uk/ena/browser/view/MK946439																													QIG55791.1	https://www.ebi.ac.uk/ena/browser/view/QIG55791.1	EGF97904.1	https://www.ebi.ac.uk/ena/browser/view/EGF97904.1	XP_007418803.1	https://www.ncbi.nlm.nih.gov/protein/XP_007418803.1																																															XP_007418803.1	XM_007418741.1	https://www.ncbi.nlm.nih.gov/protein/XP_007418803.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_007418741.1																																								
A0A858E7J4																													MK946441	https://www.ebi.ac.uk/ena/browser/view/MK946441																													QIG55793.1	https://www.ebi.ac.uk/ena/browser/view/QIG55793.1																																																																																														
A0A858E899																													MK946443	https://www.ebi.ac.uk/ena/browser/view/MK946443																													QIG55795.1	https://www.ebi.ac.uk/ena/browser/view/QIG55795.1																																																																																														
A0A858EAD5																													MK946442	https://www.ebi.ac.uk/ena/browser/view/MK946442																													QIG55794.1	https://www.ebi.ac.uk/ena/browser/view/QIG55794.1																																																																																														
A0A8D5M3V0	LC600199	https://www.ebi.ac.uk/ena/browser/view/LC600199																																																									BCP96881.1	https://www.ebi.ac.uk/ena/browser/view/BCP96881.1																																																																																														
A0A8D5M692	LC600199	https://www.ebi.ac.uk/ena/browser/view/LC600199																																																									BCP96883.1	https://www.ebi.ac.uk/ena/browser/view/BCP96883.1																																																																																														
A0A8D5M6H6	LC600199	https://www.ebi.ac.uk/ena/browser/view/LC600199																																																									BCP96887.1	https://www.ebi.ac.uk/ena/browser/view/BCP96887.1																																																																																														
A0A8D5M7V9	LC600199	https://www.ebi.ac.uk/ena/browser/view/LC600199																																																									BCP96885.1	https://www.ebi.ac.uk/ena/browser/view/BCP96885.1																																																																																														
A0A8D5M8I1	LC600199	https://www.ebi.ac.uk/ena/browser/view/LC600199																																																									BCP96884.1	https://www.ebi.ac.uk/ena/browser/view/BCP96884.1																																																																																														
A0A8D5RWG4	LC600199	https://www.ebi.ac.uk/ena/browser/view/LC600199																																																									BCP96879.1	https://www.ebi.ac.uk/ena/browser/view/BCP96879.1																																																																																														
A0A8D5RY40	LC600199	https://www.ebi.ac.uk/ena/browser/view/LC600199																																																									BCP96878.1	https://www.ebi.ac.uk/ena/browser/view/BCP96878.1																																																																																														
A0A8D5RZ52	LC600199	https://www.ebi.ac.uk/ena/browser/view/LC600199																																																									BCP96880.1	https://www.ebi.ac.uk/ena/browser/view/BCP96880.1																																																																																														
A0A8H5Z7W4	WNKQ01000023	https://www.ebi.ac.uk/ena/browser/view/WNKQ01000023																																																									KAF5844422.1	https://www.ebi.ac.uk/ena/browser/view/KAF5844422.1																																																																																														
A0A8H7XMX0	JAFIQS020000011	https://www.ebi.ac.uk/ena/browser/view/JAFIQS020000011																																																									KAH9476333.1	https://www.ebi.ac.uk/ena/browser/view/KAH9476333.1	XP_047743958.1	https://www.ncbi.nlm.nih.gov/protein/XP_047743958.1																																																	XP_047743958.1	XM_047897549.1	https://www.ncbi.nlm.nih.gov/protein/XP_047743958.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_047897549.1																																								
A0A8K1AW51	MW248390	https://www.ebi.ac.uk/ena/browser/view/MW248390																																																									QVR97764.1	https://www.ebi.ac.uk/ena/browser/view/QVR97764.1																																																																																														
A0A8K1AW54	MW248390	https://www.ebi.ac.uk/ena/browser/view/MW248390																																																									QVR97761.1	https://www.ebi.ac.uk/ena/browser/view/QVR97761.1																																																																																														
A0A8K1AWG4	MW248390	https://www.ebi.ac.uk/ena/browser/view/MW248390																																																									QVR97765.1	https://www.ebi.ac.uk/ena/browser/view/QVR97765.1																																																																																														
A0SJQ5	DQ494675	https://www.ebi.ac.uk/ena/browser/view/DQ494675																											DQ494674	https://www.ebi.ac.uk/ena/browser/view/DQ494674																													ABF57213.1	https://www.ebi.ac.uk/ena/browser/view/ABF57213.1	ABF57214.1	https://www.ebi.ac.uk/ena/browser/view/ABF57214.1																																																																																												
A1C8C2	DS027045	https://www.ebi.ac.uk/ena/browser/view/DS027045																																																									EAW14643.1	https://www.ebi.ac.uk/ena/browser/view/EAW14643.1	XP_001276069.1	https://www.ncbi.nlm.nih.gov/protein/XP_001276069.1																																																	XP_001276069.1	XM_001276068.1	https://www.ncbi.nlm.nih.gov/protein/XP_001276069.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_001276068.1																																								
A1C8C5	DS027045	https://www.ebi.ac.uk/ena/browser/view/DS027045																																																									EAW14646.1	https://www.ebi.ac.uk/ena/browser/view/EAW14646.1	XP_001276072.1	https://www.ncbi.nlm.nih.gov/protein/XP_001276072.1																																																	XP_001276072.1	XM_001276071.1	https://www.ncbi.nlm.nih.gov/protein/XP_001276072.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_001276071.1																																								
A4D9R2	AAHF01000006	https://www.ebi.ac.uk/ena/browser/view/AAHF01000006																																																									EBA27371.1	https://www.ebi.ac.uk/ena/browser/view/EBA27371.1	XP_001481476.1	https://www.ncbi.nlm.nih.gov/protein/XP_001481476.1																																																	XP_001481476.1	XM_001481426.1	https://www.ncbi.nlm.nih.gov/protein/XP_001481476.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_001481426.1																																								
A4D9R3	AAHF01000006	https://www.ebi.ac.uk/ena/browser/view/AAHF01000006																																																									EBA27372.1	https://www.ebi.ac.uk/ena/browser/view/EBA27372.1	XP_001481477.1	https://www.ncbi.nlm.nih.gov/protein/XP_001481477.1																																																	XP_001481477.1	XM_001481427.2	https://www.ncbi.nlm.nih.gov/protein/XP_001481477.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_001481427.2																																								
A7NH01	CP000804	https://www.ebi.ac.uk/ena/browser/view/CP000804																																																									ABU56748.1	https://www.ebi.ac.uk/ena/browser/view/ABU56748.1	WP_012119179.1	https://www.ncbi.nlm.nih.gov/protein/WP_012119179.1																																																	WP_012119179.1	NC_009767.1	https://www.ncbi.nlm.nih.gov/protein/WP_012119179.1	https://www.ncbi.nlm.nih.gov/nucleotide/NC_009767.1																																								
A8C980																													AB263203	https://www.ebi.ac.uk/ena/browser/view/AB263203																													BAF80441.1	https://www.ebi.ac.uk/ena/browser/view/BAF80441.1																																																																																														
A8C981																													AB263204	https://www.ebi.ac.uk/ena/browser/view/AB263204																													BAF80442.1	https://www.ebi.ac.uk/ena/browser/view/BAF80442.1																																																																																														
A8CDT2																													AB289585	https://www.ebi.ac.uk/ena/browser/view/AB289585																													BAF80443.1	https://www.ebi.ac.uk/ena/browser/view/BAF80443.1																																																																																														
A8CDT3																													AB289586	https://www.ebi.ac.uk/ena/browser/view/AB289586																													BAF80444.1	https://www.ebi.ac.uk/ena/browser/view/BAF80444.1																																																																																														
A9AWD5	CP000875	https://www.ebi.ac.uk/ena/browser/view/CP000875																																																									ABX04785.1	https://www.ebi.ac.uk/ena/browser/view/ABX04785.1																																																																																														
A9FZ87	AM746676	https://www.ebi.ac.uk/ena/browser/view/AM746676																																																									CAN98722.1	https://www.ebi.ac.uk/ena/browser/view/CAN98722.1	WP_012241161.1	https://www.ncbi.nlm.nih.gov/protein/WP_012241161.1																																																	WP_012241161.1	NC_010162.1	https://www.ncbi.nlm.nih.gov/protein/WP_012241161.1	https://www.ncbi.nlm.nih.gov/nucleotide/NC_010162.1																																								
A9JPE0	AM921700	https://www.ebi.ac.uk/ena/browser/view/AM921700																																																									CAP53941.1	https://www.ebi.ac.uk/ena/browser/view/CAP53941.1																																																																																														
A9JPE1	AM921700	https://www.ebi.ac.uk/ena/browser/view/AM921700																																																									CAP53937.2	https://www.ebi.ac.uk/ena/browser/view/CAP53937.2																																																																																														
A9JPE2	AM921700	https://www.ebi.ac.uk/ena/browser/view/AM921700																																																									CAP53938.1	https://www.ebi.ac.uk/ena/browser/view/CAP53938.1																																																																																														
B0Y565	DS499598	https://www.ebi.ac.uk/ena/browser/view/DS499598																																																									EDP50814.1	https://www.ebi.ac.uk/ena/browser/view/EDP50814.1																																																																																														
B1B1U3	AB263736	https://www.ebi.ac.uk/ena/browser/view/AB263736																											AB247331	https://www.ebi.ac.uk/ena/browser/view/AB247331																													BAG12020.1	https://www.ebi.ac.uk/ena/browser/view/BAG12020.1	BAG12315.1	https://www.ebi.ac.uk/ena/browser/view/BAG12315.1																																																																																												
B2DBF0																													AB252834	https://www.ebi.ac.uk/ena/browser/view/AB252834																													BAG30961.1	https://www.ebi.ac.uk/ena/browser/view/BAG30961.1																																																																																														
B2DBF1																													AB252835	https://www.ebi.ac.uk/ena/browser/view/AB252835																													BAG30962.1	https://www.ebi.ac.uk/ena/browser/view/BAG30962.1																																																																																														
B2J4A4	CP001037	https://www.ebi.ac.uk/ena/browser/view/CP001037																																																									ACC82216.1	https://www.ebi.ac.uk/ena/browser/view/ACC82216.1	WP_012410187.1	https://www.ncbi.nlm.nih.gov/protein/WP_012410187.1																																																	WP_012410187.1	NC_010628.1	https://www.ncbi.nlm.nih.gov/protein/WP_012410187.1	https://www.ncbi.nlm.nih.gov/nucleotide/NC_010628.1																																								
B5A434																													EU798692	https://www.ebi.ac.uk/ena/browser/view/EU798692																													ACF24767.1	https://www.ebi.ac.uk/ena/browser/view/ACF24767.1																																																																																														
B5A435																													EU798693	https://www.ebi.ac.uk/ena/browser/view/EU798693																													ACF24768.1	https://www.ebi.ac.uk/ena/browser/view/ACF24768.1																																																																																														
B5GW45	CM000914	https://www.ebi.ac.uk/ena/browser/view/CM000914	DS570654	https://www.ebi.ac.uk/ena/browser/view/DS570654																																																							EFG03561.2	https://www.ebi.ac.uk/ena/browser/view/EFG03561.2	EDY50541.1	https://www.ebi.ac.uk/ena/browser/view/EDY50541.1	WP_003956090.1	https://www.ncbi.nlm.nih.gov/protein/WP_003956090.1																																															WP_003956090.1	NZ_CM000914.1	https://www.ncbi.nlm.nih.gov/protein/WP_003956090.1	https://www.ncbi.nlm.nih.gov/nucleotide/NZ_CM000914.1																																								
B5H7H3	CM000950	https://www.ebi.ac.uk/ena/browser/view/CM000950																																																									EDY62784.1	https://www.ebi.ac.uk/ena/browser/view/EDY62784.1	WP_005320742.1	https://www.ncbi.nlm.nih.gov/protein/WP_005320742.1																																																	WP_005320742.1	NZ_CM000950.1	https://www.ncbi.nlm.nih.gov/protein/WP_005320742.1	https://www.ncbi.nlm.nih.gov/nucleotide/NZ_CM000950.1																																								
B6EXY6	AC002986	https://www.ebi.ac.uk/ena/browser/view/AC002986	CP002684	https://www.ebi.ac.uk/ena/browser/view/CP002684																									AB374428	https://www.ebi.ac.uk/ena/browser/view/AB374428																													BAG82628.1	https://www.ebi.ac.uk/ena/browser/view/BAG82628.1	AAC17080.1	https://www.ebi.ac.uk/ena/browser/view/AAC17080.1	AEE36183.1	https://www.ebi.ac.uk/ena/browser/view/AEE36183.1	NP_178016.2	https://www.ncbi.nlm.nih.gov/protein/NP_178016.2																																													NP_178016.2	NM_106544.5	https://www.ncbi.nlm.nih.gov/protein/NP_178016.2	https://www.ncbi.nlm.nih.gov/nucleotide/NM_106544.5																																								
B6H063	AM920427	https://www.ebi.ac.uk/ena/browser/view/AM920427																																																									CAP80258.1	https://www.ebi.ac.uk/ena/browser/view/CAP80258.1	XP_002557473.1	https://www.ncbi.nlm.nih.gov/protein/XP_002557473.1																																																	XP_002557473.1	XM_002557427.1	https://www.ncbi.nlm.nih.gov/protein/XP_002557473.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_002557427.1																																								
B6HFX9	AM920435	https://www.ebi.ac.uk/ena/browser/view/AM920435																																																									CAP86416.1	https://www.ebi.ac.uk/ena/browser/view/CAP86416.1																																																																																														
B6HUQ4	AM920437	https://www.ebi.ac.uk/ena/browser/view/AM920437																																																									CAP99570.1	https://www.ebi.ac.uk/ena/browser/view/CAP99570.1																																																																																														
B6HV34	AM920437	https://www.ebi.ac.uk/ena/browser/view/AM920437																																																									CAP99575.1	https://www.ebi.ac.uk/ena/browser/view/CAP99575.1	XP_002566181.1	https://www.ncbi.nlm.nih.gov/protein/XP_002566181.1																																																	XP_002566181.1	XM_002566135.1	https://www.ncbi.nlm.nih.gov/protein/XP_002566181.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_002566135.1																																								
B6HV35	AM920437	https://www.ebi.ac.uk/ena/browser/view/AM920437																																																									CAP99576.1	https://www.ebi.ac.uk/ena/browser/view/CAP99576.1																																																																																														
B6HV36	AM920437	https://www.ebi.ac.uk/ena/browser/view/AM920437																																																									CAP99577.1	https://www.ebi.ac.uk/ena/browser/view/CAP99577.1																																																																																														
B6HV37	AM920437	https://www.ebi.ac.uk/ena/browser/view/AM920437																																																									CAP99578.1	https://www.ebi.ac.uk/ena/browser/view/CAP99578.1																																																																																														
B6HV38	AM920437	https://www.ebi.ac.uk/ena/browser/view/AM920437																																																									CAP99579.1	https://www.ebi.ac.uk/ena/browser/view/CAP99579.1																																																																																														
B6HV39	AM920437	https://www.ebi.ac.uk/ena/browser/view/AM920437																																																									CAP99580.1	https://www.ebi.ac.uk/ena/browser/view/CAP99580.1																																																																																														
B6SCF3																													EU760348	https://www.ebi.ac.uk/ena/browser/view/EU760348																													ACI32637.1	https://www.ebi.ac.uk/ena/browser/view/ACI32637.1																																																																																														
B6SCF4																													EU760349	https://www.ebi.ac.uk/ena/browser/view/EU760349																													ACI32638.1	https://www.ebi.ac.uk/ena/browser/view/ACI32638.1																																																																																														
B6SCF5																													EU760350	https://www.ebi.ac.uk/ena/browser/view/EU760350																													ACI32639.1	https://www.ebi.ac.uk/ena/browser/view/ACI32639.1																																																																																														
B6SCF6																													EU760351	https://www.ebi.ac.uk/ena/browser/view/EU760351																													ACI32640.1	https://www.ebi.ac.uk/ena/browser/view/ACI32640.1																																																																																														
B8NHD7	EQ963478	https://www.ebi.ac.uk/ena/browser/view/EQ963478	CP044620	https://www.ebi.ac.uk/ena/browser/view/CP044620																																																							EED50779.1	https://www.ebi.ac.uk/ena/browser/view/EED50779.1	QRD86575.1	https://www.ebi.ac.uk/ena/browser/view/QRD86575.1																																																																																												
B8NHD8	EQ963478	https://www.ebi.ac.uk/ena/browser/view/EQ963478	CP044620	https://www.ebi.ac.uk/ena/browser/view/CP044620																																																							EED50780.1	https://www.ebi.ac.uk/ena/browser/view/EED50780.1	QRD86576.1	https://www.ebi.ac.uk/ena/browser/view/QRD86576.1																																																																																												
B8NHD9	EQ963478	https://www.ebi.ac.uk/ena/browser/view/EQ963478	CP044620	https://www.ebi.ac.uk/ena/browser/view/CP044620																																																							EED50781.1	https://www.ebi.ac.uk/ena/browser/view/EED50781.1	QRD86577.1	https://www.ebi.ac.uk/ena/browser/view/QRD86577.1																																																																																												
B8NHE0	EQ963478	https://www.ebi.ac.uk/ena/browser/view/EQ963478	CP059868	https://www.ebi.ac.uk/ena/browser/view/CP059868	CP044620	https://www.ebi.ac.uk/ena/browser/view/CP044620																																																					EED50782.1	https://www.ebi.ac.uk/ena/browser/view/EED50782.1	QMW30129.1	https://www.ebi.ac.uk/ena/browser/view/QMW30129.1	QRD86578.1	https://www.ebi.ac.uk/ena/browser/view/QRD86578.1																																																																																										
B8NHE1	EQ963478	https://www.ebi.ac.uk/ena/browser/view/EQ963478	CP044620	https://www.ebi.ac.uk/ena/browser/view/CP044620																																																							EED50783.1	https://www.ebi.ac.uk/ena/browser/view/EED50783.1	QRD86579.1	https://www.ebi.ac.uk/ena/browser/view/QRD86579.1																																																																																												
B8NHE2	EQ963478	https://www.ebi.ac.uk/ena/browser/view/EQ963478	CP044620	https://www.ebi.ac.uk/ena/browser/view/CP044620																																																							EED50784.1	https://www.ebi.ac.uk/ena/browser/view/EED50784.1	QRD86580.1	https://www.ebi.ac.uk/ena/browser/view/QRD86580.1																																																																																												
